Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Case ID,Test Case Description,Test Type,Current Status,Defect Count,Severity,Notes,Last Tested Date
F011,Level conversion,As a builder I want tile JSON → Bedrock placements,Download bundle runs without --level flag,Script copied to download/,TC-F011-005,cd download && python3 convert_level.py succeeds,Automated,PASS,0,High,download bundle default paths,2026-06-22
F012,Sample Cave of Snakes level,As a tester I want Archive 2 canonical sample,sample_level.json has 11 tile types per Archive 2 (sand not in sample),Partial grid; sand supported by converter only,TC-F012-001,Archive 2 tile types present,Automated,PASS,0,High,missing=set(),2026-06-22
F012,Sample Cave of Snakes level,As a tester I want Archive 2 canonical sample,45 tiles in sample JSON per Archive 2,Empty tiles array,TC-F012-002,Tile count is 45,Automated,PASS,0,Medium,tiles=45,2026-06-22
F012,Sample Cave of Snakes level,As a tester I want converter outputs for sample,Outputs setblock mcfunction and python list,Unreadable output dir,TC-F012-003,sample_level.setblock exists with setblock lines,Automated,PASS,0,Medium,,2026-06-22
F012,Sample Cave of Snakes level,As a tester I want in-game layout match,Placing sample build matches intended diorama,Wrong origin; command permissions,TC-F012-004,Paste sample build in creative at test origin,Manual,MANUAL_PENDING,0,High,Requires physical device,
F013,Version management,As release automation I want semver bumps,pack_version.py reads/bumps VERSION and prints tag,Invalid VERSION format,TC-F013-001,--print semver returns X.Y.Z,Automated,PASS,0,Medium,,2026-06-22
F014,CI PR workflow,As a contributor I want PRs validated,ci.yml builds validates qa suite preflight uploads artifact,PR only touches docs,TC-F014-001,CI workflow file defines build+validate+artifact,Static,PASS,0,High,,2026-06-22
F015,Publish workflow,As maintainer I want auto release on main merge,publish.yml bumps builds tags releases mcpack,Loop on dist-only commit,TC-F015-001,publish.yml calls publish_pack.sh,Static,PASS,0,High,,2026-06-22
F016,Manual tag release,As maintainer I want tag-triggered releases,release.yml builds on v* tags,Missing dist,TC-F016-001,release.yml attaches Cel_Band_Pack.mcpack,Static,PASS,0,Medium,,2026-06-22
F017,Clean artifacts,As a developer I want to remove scratch dirs,clean.sh removes variants/cel-band/build,Accidental dist delete,TC-F017-001,clean.sh runs without error,Automated,PASS,0,Low,,2026-06-22
F018,Installation docs,As a user I want install instructions,docs/installation.md links Cel_Band_Pack.mcpack,Broken URL,TC-F018-001,Follow install doc on device,Manual,MANUAL_PENDING,0,Medium,Requires physical device,
F019,Development docs,As a developer I want build/conversion docs,docs/development.md documents pack/ source and scripts,Outdated commands,TC-F019-001,Doc paths match repo layout,Static,PASS,0,Low,,2026-06-22
F020,Download bundle,As a user I want self-contained download folder,download/ mirrors mcpack pack sample converter spec PDF,Incomplete copy after build,TC-F020-001,dist and download mcpack hashes match,Automated,PASS,0,High,,2026-06-22
F020,Download bundle,As a user I want self-contained download folder,Voxel_Spec.pdf present,Missing PDF,TC-F020-002,Voxel_Spec.pdf exists,Automated,PASS,0,Medium,,2026-06-22
F020,Download bundle,As a user I want self-contained download folder,convert_level.py copied to download,Stale copy,TC-F020-003,download/convert_level.py exists,Automated,PASS,0,Medium,,2026-06-22
F020,Download bundle,As a user I want self-contained download folder,At least 15 block textures in pack source,Missing converted PNG,TC-F020-004,pack/textures/blocks count ≥15,Automated,PASS,0,High,,2026-06-22
F021,Branding guard,As a publisher I want no franchise terms in pack manifest,Name and description avoid trademark terms,Description only violation,TC-F021-001,Manifest passes branding check,Automated,PASS,0,Critical,,2026-06-22
F022,Version sync,As a publisher I want manifest version match VERSION,assemble_pack syncs header.version from VERSION file,Manual manifest edit,TC-F022-001,manifest version equals VERSION file,Automated,PASS,0,High,,2026-06-22
F023,Preflight check,As a tester I want structural validation before Bedrock import,preflight_check.py verifies 24 files dimensions and branding,Missing Pillow,TC-F023-001,preflight_check.py passes on dist mcpack,Automated,PASS,0,Critical,preflight PASS,2026-06-22
F024,Dirt block texture,As a player I want converted dirt texture,dirt.png in pack (16x16); required by preflight,Not emitted by converter,TC-F024-001,dirt.png exists in pack source,Automated,PASS,0,Low,,2026-06-22
F025,Sand block texture,As a builder I want sand tile and texture,sand tile maps to sand block; sand.png in pack,Sand not in Archive 2 sample,TC-F025-001,Sand tile in TILE_TO_MC,Automated,PASS,0,Medium,,2026-06-22
F025,Sand block texture,As a builder I want sand tile and texture,sand.png committed in pack,Missing texture file,TC-F025-002,sand.png exists in pack source,Automated,PASS,0,Medium,,2026-06-22
F026,Wood and leaves blocks,As a player I want converted log and leaf textures,wood tile → 3x oak_log + leaves; leaf textures in pack,Fancy vs fast graphics leaf variants,TC-F026-001,Wood placement produces oak_log and leaves,Automated,PASS,0,Medium,"wood_blocks={'oak_log', 'leaves'}",2026-06-22
F026,Wood and leaves blocks,As a player I want converted log and leaf textures,log_oak and leaves_oak_opaque in zip,Missing texture paths,TC-F026-002,Wood/leaf textures in mcpack zip,Automated,PASS,0,Medium,,2026-06-22
F027,Water block texture,As a player I want converted still water,water tile → water block; water_still_grey.png in pack,Flowing water not overridden,TC-F027-001,Sample has 2 water tiles,Automated,PASS,0,Low,water_tiles=2,2026-06-22
F027,Water block texture,As a player I want converted still water,water_still_grey.png in zip,Wrong path spelling,TC-F027-002,Water texture in mcpack zip,Automated,PASS,0,Low,,2026-06-22
F028,Multi-format converter output,As a builder I want multiple output formats,Writes setblock mcfunction and diorama_blocks.py,Output dir not writable,TC-F028-001,diorama_level.mcfunction has setblock lines,Automated,PASS,0,Medium,,2026-06-22
F028,Multi-format converter output,As a builder I want multiple output formats,diorama_blocks.py contains BLOCKS list,Overwrite on re-run,TC-F028-002,diorama_blocks.py has BLOCKS array,Automated,PASS,0,Medium,,2026-06-22
F029,Converter default paths,As download-bundle user I want no-arg convert_level.py,Uses sample_level.json beside script when in download/,Was broken pre-D002,TC-F011-005,Covered by F011 TC-F011-005,Automated,PASS,0,High,download bundle default paths,2026-06-22
F030,Unknown tile fallback,As a builder I want graceful unknown tiles,Unknown tile type defaults to stone block,Typos silently become stone,TC-F030-001,Unknown tile maps to stone,Automated,PASS,0,Medium,,2026-06-22
F031,Pack icon,As a player I want pack icon in resource picker,pack_icon.png 256x256 in zip,Wrong dimensions fail preflight,TC-F031-001,pack_icon.png in mcpack zip,Automated,PASS,0,Low,,2026-06-22
F032,Manifest UUID validation,As CI I want Bedrock-compatible manifest,format_version 2; header and module UUIDs present,Duplicate UUIDs across packs,TC-F032-001,Zip manifest has format_version 2 and UUIDs,Automated,PASS,0,Medium,,2026-06-22
F033,QA suite registry updater,As QA I want automated tests to update spreadsheet,run_qa_suite.py runs checks and updates QUALITY_REGISTRY.csv,Overwrites Notes column,TC-F033-001,Registry file exists and is writable,Automated,PASS,0,High,,2026-06-22
F034,QA coverage reporting,As QA lead I want iteration status and confidence,COVERAGE_REPORT.md documents pass/fail defects confidence,Report may lag registry,TC-F034-001,Review COVERAGE_REPORT.md accuracy,Manual,MANUAL_PENDING,0,Low,Updated each iteration,
F035,Defect tracking,As QA I want defect history in DEFECTS.csv,Defects linked to feature and test case with status,Regression after waiver,TC-F035-001,Review DEFECTS.csv completeness,Manual,MANUAL_PENDING,0,Medium,,
F036,Pre-commit hooks,As contributor I want local lint gates,.pre-commit-config.yaml: ruff lint format json check,Not run in CI,TC-F036-001,pre-commit config exists,Static,PASS,0,Low,,2026-06-22
F036,Pre-commit hooks,As contributor I want local lint gates,ruff check passes on scripts and qa,ruff not installed,TC-F036-002,ruff check exit 0,Automated,PASS,0,Low,,2026-06-22
F037,Ruff Python config,As developer I want consistent Python style,pyproject.toml targets py311 line-length 100,E501 ignored,TC-F036-002,Covered by ruff check,Static,PASS,0,Low,Same as F036-002,2026-06-22
F038,PR template,As contributor I want clear PR expectations,.github/pull_request_template.md with build checklist,Informal enforcement,TC-F038-001,PR template exists,Static,PASS,0,Low,,2026-06-22
F039,GitHub issue templates,As user I want structured bug/feature reports,bug_report.md and feature_request.md in ISSUE_TEMPLATE,GitHub Issues disabled,TC-F039-001,Issue templates exist,Static,PASS,0,Low,,2026-06-22
F040,Publish skip-bump,As release automation I want rebuild without version bump,SKIP_BUMP=1 skips pack_version.py --bump-patch,Not in publish.yml env,TC-F040-001,publish_pack.sh references SKIP_BUMP,Static,PASS,0,Low,,2026-06-22
F041,Publish loop prevention,As CI I want no infinite release loops,publish.yml paths-ignore dist VERSION download,Changes only in ignored paths,TC-F041-001,publish.yml has paths-ignore for dist,Static,PASS,0,High,,2026-06-22
F042,CI artifact upload,As contributor I want PR build artifacts,ci.yml uploads Cel_Band_Pack.mcpack 30-day retention,Fork artifact limits,TC-F042-001,ci.yml defines artifact upload,Static,PASS,0,Medium,,2026-06-22
F043,Voxel specification PDF,As builder I want tile-type reference,download/Voxel_Spec.pdf present after build,PDF may contain legacy terms,TC-F043-001,Voxel_Spec.pdf exists,Automated,PASS,0,Medium,,2026-06-22
F044,Trademark audit process,As publisher I want franchise-term inventory,docs/TRADEMARK_AUDIT.md lists terms and redaction guide,PDF content not auto-scanned,TC-F044-001,TRADEMARK_AUDIT.md exists,Static,PASS,0,Medium,,2026-06-22
F045,PNG pipeline documentation,As developer I want texture provenance docs,docs/WORKFLOW.md documents conversion pipeline,lcgo_mc_tool no longer in repo,TC-F045-001,WORKFLOW.md exists,Static,PASS,0,Low,,2026-06-22
F046,License and disclaimer,As user I want clear licensing,MIT LICENSE; README non-affiliation with Mojang,Texture art license separate,TC-F046-001,LICENSE file exists,Static,PASS,0,Low,,2026-06-22
F047,Variant README,As developer I want variant quick-reference,variants/cel-band/README.md documents build and convert,Shorter than root README,TC-F047-001,Variant README exists,Static,PASS,0,Low,,2026-06-22
F048,Assemble branding injection,As publisher I want consistent pack name on build,assemble_pack.py sets name Cel Band Pack and description each build,Manual manifest edits overwritten,TC-F048-001,Built zip manifest name is Cel Band Pack,Automated,PASS,0,High,,2026-06-22
F049,Testing documentation,As developer I want testing quick-reference,TESTING.md lists automated and manual test commands,Overlaps development.md,TC-F049-001,TESTING.md exists,Static,PASS,0,Low,,2026-06-22
